molecule,FRET_before,FRET_after,Time,number_of_frames,treatment,repeat,transition_type,shift,is_in_sequence,CumulativeTime,CumulativeTime(s),transition_name
193_01_Native_1.0,0.653653,0.406444,19,307,01_Native,1.0,high-low,high-high,False,157,31.4,$T_{high-low}$
197_01_Native_1.0,0.448268,0.583139,82,339,01_Native,1.0,low-high,,False,82,16.400000000000002,$T_{low-high}$
197_01_Native_1.0,0.583139,0.448268,138,339,01_Native,1.0,high-low,low-high,False,138,27.6,$T_{high-low}$
197_01_Native_1.0,0.448268,0.583139,23,339,01_Native,1.0,low-high,high-low,False,23,4.6000000000000005,$T_{low-high}$
204_01_Native_1.0,0.660154,0.474256,26,480,01_Native,1.0,high-low,high-high,False,268,53.6,$T_{high-low}$
204_01_Native_1.0,0.474256,0.660154,10,480,01_Native,1.0,low-high,high-low,False,10,2.0,$T_{low-high}$
211_01_Native_1.0,0.651086,0.489192,9,673,01_Native,1.0,high-low,high-high,False,144,28.8,$T_{high-low}$
211_01_Native_1.0,0.489192,0.651086,26,673,01_Native,1.0,low-high,high-low,False,26,5.2,$T_{low-high}$
211_01_Native_1.0,0.651086,0.489192,41,673,01_Native,1.0,high-low,low-high,False,41,8.200000000000001,$T_{high-low}$
211_01_Native_1.0,0.489192,0.651086,7,673,01_Native,1.0,low-high,high-low,False,7,1.4,$T_{low-high}$
211_01_Native_1.0,0.651086,0.489192,85,673,01_Native,1.0,high-low,high-high,False,117,23.4,$T_{high-low}$
211_01_Native_1.0,0.489192,0.651086,8,673,01_Native,1.0,low-high,high-low,False,8,1.6,$T_{low-high}$
211_01_Native_1.0,0.651086,0.489192,35,673,01_Native,1.0,high-low,low-high,False,35,7.0,$T_{high-low}$
211_01_Native_1.0,0.489192,0.651086,53,673,01_Native,1.0,low-high,high-low,False,53,10.6,$T_{low-high}$
214_01_Native_1.0,0.54941,0.438736,129,687,01_Native,1.0,high-low,high-high,False,336,67.2,$T_{high-low}$
214_01_Native_1.0,0.438736,0.54941,19,687,01_Native,1.0,low-high,high-low,False,19,3.8,$T_{low-high}$
214_01_Native_1.0,0.54941,0.438736,54,687,01_Native,1.0,high-low,low-high,False,54,10.8,$T_{high-low}$
214_01_Native_1.0,0.438736,0.54941,5,687,01_Native,1.0,low-high,high-low,False,5,1.0,$T_{low-high}$
214_01_Native_1.0,0.54941,0.438736,140,687,01_Native,1.0,high-low,low-high,False,140,28.0,$T_{high-low}$
220_01_Native_1.0,0.706176,0.434847,11,459,01_Native,1.0,high-low,,False,11,2.2,$T_{high-low}$
220_01_Native_1.0,0.434847,0.706176,176,459,01_Native,1.0,low-high,high-low,False,176,35.2,$T_{low-high}$
220_01_Native_1.0,0.706176,0.434847,19,459,01_Native,1.0,high-low,low-high,False,19,3.8,$T_{high-low}$
220_01_Native_1.0,0.434847,0.706176,3,459,01_Native,1.0,low-high,high-low,False,3,0.6000000000000001,$T_{low-high}$
220_01_Native_1.0,0.706176,0.434847,244,459,01_Native,1.0,high-low,low-high,False,244,48.8,$T_{high-low}$
220_01_Native_1.0,0.434847,0.706176,1,459,01_Native,1.0,low-high,high-low,False,1,0.2,$T_{low-high}$
224_01_Native_1.0,0.682618,0.454705,96,535,01_Native,1.0,high-low,,False,96,19.200000000000003,$T_{high-low}$
