Molecule,FRET_before,FRET_after,Time,number_of_frames,treatment_name,repeat,transition_type,shift,is_in_sequence,CumulativeTime,CumulativeTime(s)
131_03_A8A2_2.0,-0.154169,0.02579,12,688,03_A8A2,2.0,low-low,low-low,True,0,0.0
131_03_A8A2_2.0,0.02579,0.367088,23,688,03_A8A2,2.0,low-low,low-low,True,0,0.0
131_03_A8A2_2.0,0.367088,0.02579,10,688,03_A8A2,2.0,low-low,low-low,True,0,0.0
131_03_A8A2_2.0,0.02579,0.367088,29,688,03_A8A2,2.0,low-low,low-low,True,0,0.0
131_03_A8A2_2.0,0.367088,0.02579,39,688,03_A8A2,2.0,low-low,low-low,True,0,0.0
132_03_A8A2_2.0,0.063419,-0.044275,172,1175,03_A8A2,2.0,low-low,,True,0,0.0
132_03_A8A2_2.0,-0.044275,0.063419,5,1175,03_A8A2,2.0,low-low,low-low,True,0,0.0
132_03_A8A2_2.0,0.063419,-0.044275,49,1175,03_A8A2,2.0,low-low,low-low,True,0,0.0
132_03_A8A2_2.0,-0.044275,0.063419,27,1175,03_A8A2,2.0,low-low,low-low,True,0,0.0
132_03_A8A2_2.0,0.063419,-0.044275,49,1175,03_A8A2,2.0,low-low,low-low,True,0,0.0
132_03_A8A2_2.0,-0.044275,0.063419,16,1175,03_A8A2,2.0,low-low,low-low,True,0,0.0
132_03_A8A2_2.0,0.063419,-0.044275,40,1175,03_A8A2,2.0,low-low,low-low,True,0,0.0
132_03_A8A2_2.0,-0.044275,0.063419,6,1175,03_A8A2,2.0,low-low,low-low,True,0,0.0
132_03_A8A2_2.0,0.063419,-0.044275,99,1175,03_A8A2,2.0,low-low,low-low,True,0,0.0
132_03_A8A2_2.0,-0.044275,0.063419,8,1175,03_A8A2,2.0,low-low,low-low,True,0,0.0
132_03_A8A2_2.0,0.063419,-0.044275,54,1175,03_A8A2,2.0,low-low,low-low,True,0,0.0
132_03_A8A2_2.0,-0.044275,0.063419,4,1175,03_A8A2,2.0,low-low,low-low,True,0,0.0
132_03_A8A2_2.0,0.063419,-0.044275,26,1175,03_A8A2,2.0,low-low,low-low,True,0,0.0
132_03_A8A2_2.0,-0.044275,0.063419,1,1175,03_A8A2,2.0,low-low,low-low,True,0,0.0
132_03_A8A2_2.0,0.063419,-0.044275,140,1175,03_A8A2,2.0,low-low,low-low,True,0,0.0
132_03_A8A2_2.0,-0.044275,0.063419,3,1175,03_A8A2,2.0,low-low,low-low,True,0,0.0
132_03_A8A2_2.0,0.063419,-0.044275,37,1175,03_A8A2,2.0,low-low,low-low,True,0,0.0
132_03_A8A2_2.0,-0.044275,0.063419,3,1175,03_A8A2,2.0,low-low,low-low,True,0,0.0
132_03_A8A2_2.0,0.063419,-0.044275,51,1175,03_A8A2,2.0,low-low,low-low,True,0,0.0
132_03_A8A2_2.0,-0.044275,0.063419,9,1175,03_A8A2,2.0,low-low,low-low,True,0,0.0
132_03_A8A2_2.0,0.063419,-0.044275,52,1175,03_A8A2,2.0,low-low,low-low,True,0,0.0
132_03_A8A2_2.0,-0.044275,0.063419,2,1175,03_A8A2,2.0,low-low,low-low,True,0,0.0
132_03_A8A2_2.0,0.063419,-0.044275,176,1175,03_A8A2,2.0,low-low,low-low,True,0,0.0
132_03_A8A2_2.0,-0.044275,0.063419,6,1175,03_A8A2,2.0,low-low,low-low,True,0,0.0
132_03_A8A2_2.0,0.063419,-0.044275,14,1175,03_A8A2,2.0,low-low,low-low,True,0,0.0
132_03_A8A2_2.0,-0.044275,0.063419,9,1175,03_A8A2,2.0,low-low,low-low,True,0,0.0
132_03_A8A2_2.0,0.063419,0.538498,43,1175,03_A8A2,2.0,low-high,low-low,False,1058,211.60000000000002
133_03_A8A2_2.0,0.162786,0.05292,29,1734,03_A8A2,2.0,low-low,,True,0,0.0
133_03_A8A2_2.0,0.05292,0.162786,24,1734,03_A8A2,2.0,low-low,low-low,True,0,0.0
