Molecule,FRET_after,FRET_before,Total Molecule Lifetime (min),treatment,FRET_after_normalised,FRET_before_normalised,bind_and_release,bind_and_release_overtime
335_01_Native_1.0,2.0,1.0,2.256666666666667,01_Native,0.8862629246676513,0.44313146233382567,1.0,0.44313146233382567
338_01_Native_1.0,1.0,1.0,1.0,01_Native,1.0,1.0,1.0,1.0
078_01_Native_1.0,0.0,1.0,1.2466666666666666,01_Native,0.0,0.8021390374331552,0.0,
001_02_Misfolded_1.0,2.0,2.0,0.5566666666666666,02_Misfolded,3.5928143712574854,3.5928143712574854,2.0,3.5928143712574854
006_02_Misfolded_1.0,1.0,1.0,2.503333333333333,02_Misfolded,0.39946737683089223,0.39946737683089223,1.0,0.39946737683089223
010_02_Misfolded_1.0,1.0,0.0,0.7233333333333333,02_Misfolded,1.3824884792626728,0.0,0.0,
019_02_Misfolded_1.0,1.0,1.0,1.2966666666666666,02_Misfolded,0.7712082262210798,0.7712082262210798,1.0,0.7712082262210798
026_02_Misfolded_1.0,2.0,1.0,1.41,02_Misfolded,1.4184397163120568,0.7092198581560284,1.0,0.7092198581560284
057_02_Misfolded_1.0,2.0,2.0,0.9,02_Misfolded,2.2222222222222223,2.2222222222222223,2.0,2.2222222222222223
059_02_Misfolded_1.0,1.0,0.0,2.3066666666666666,02_Misfolded,0.43352601156069365,0.0,0.0,
062_02_Misfolded_1.0,1.0,1.0,0.2966666666666667,02_Misfolded,3.3707865168539324,3.3707865168539324,1.0,3.3707865168539324
070_02_Misfolded_1.0,1.0,1.0,1.3866666666666667,02_Misfolded,0.7211538461538461,0.7211538461538461,1.0,0.7211538461538461
104_02_Misfolded_1.0,1.0,1.0,2.076666666666667,02_Misfolded,0.48154093097913314,0.48154093097913314,1.0,0.48154093097913314
153_02_Misfolded_1.0,4.0,3.0,1.2699999999999998,02_Misfolded,3.149606299212599,2.362204724409449,3.0,2.362204724409449
236_02_Misfolded_1.0,2.0,2.0,1.4266666666666663,02_Misfolded,1.401869158878505,1.401869158878505,2.0,1.401869158878505
033_02_Misfolded_1.0,0.0,1.0,0.8600000000000001,02_Misfolded,0.0,1.1627906976744184,0.0,
003_03_A8A2_1.0,1.0,0.0,0.48333333333333334,03_A8A2,2.0689655172413794,0.0,0.0,
004_03_A8A2_2.0,2.0,2.0,6.0,03_A8A2,0.3333333333333333,0.3333333333333333,2.0,0.3333333333333333
005_03_A8A2_2.0,6.0,7.0,4.533333333333332,03_A8A2,1.3235294117647063,1.5441176470588238,6.0,1.3235294117647063
007_03_A8A2_2.0,1.0,2.0,1.55,03_A8A2,0.6451612903225806,1.2903225806451613,1.0,0.6451612903225806
010_03_A8A2_2.0,3.0,3.0,4.849999999999998,03_A8A2,0.6185567010309281,0.6185567010309281,3.0,0.6185567010309281
011_03_A8A2_2.0,1.0,1.0,0.43333333333333335,03_A8A2,2.3076923076923075,2.3076923076923075,1.0,2.3076923076923075
013_03_A8A2_2.0,1.0,2.0,3.25,03_A8A2,0.3076923076923077,0.6153846153846154,1.0,0.3076923076923077
017_03_A8A2_2.0,2.0,2.0,3.666666666666667,03_A8A2,0.5454545454545454,0.5454545454545454,2.0,0.5454545454545454
018_03_A8A2_2.0,1.0,0.0,1.8500000000000003,03_A8A2,0.5405405405405405,0.0,0.0,
019_03_A8A2_2.0,5.0,6.0,3.399999999999999,03_A8A2,1.470588235294118,1.7647058823529418,5.0,1.470588235294118
021_03_A8A2_1.0,1.0,0.0,0.95,03_A8A2,1.0526315789473684,0.0,0.0,
023_03_A8A2_1.0,1.0,1.0,1.6,03_A8A2,0.625,0.625,1.0,0.625
025_03_A8A2_2.0,1.0,1.0,2.953333333333333,03_A8A2,0.33860045146726864,0.33860045146726864,1.0,0.33860045146726864
028_03_A8A2_2.0,1.0,1.0,2.05,03_A8A2,0.48780487804878053,0.48780487804878053,1.0,0.48780487804878053
032_03_A8A2_2.0,2.0,2.0,1.9166666666666667,03_A8A2,1.0434782608695652,1.0434782608695652,2.0,1.0434782608695652
035_03_A8A2_2.0,2.0,2.0,1.9333333333333333,03_A8A2,1.0344827586206897,1.0344827586206897,2.0,1.0344827586206897
036_03_A8A2_1.0,1.0,1.0,1.3333333333333333,03_A8A2,0.75,0.75,1.0,0.75
036_03_A8A2_2.0,3.0,2.0,1.4133333333333333,03_A8A2,2.1226415094339623,1.4150943396226414,2.0,1.4150943396226414
040_03_A8A2_1.0,1.0,0.0,0.36666666666666664,03_A8A2,2.7272727272727275,0.0,0.0,
042_03_A8A2_2.0,2.0,2.0,3.4166666666666665,03_A8A2,0.5853658536585367,0.5853658536585367,2.0,0.5853658536585367
045_03_A8A2_2.0,1.0,0.0,1.6700000000000002,03_A8A2,0.5988023952095808,0.0,0.0,
048_03_A8A2_1.0,1.0,1.0,1.2166666666666666,03_A8A2,0.8219178082191781,0.8219178082191781,1.0,0.8219178082191781
048_03_A8A2_2.0,5.0,6.0,2.983333333333334,03_A8A2,1.6759776536312847,2.0111731843575416,5.0,1.6759776536312847
049_03_A8A2_2.0,5.0,4.0,5.200000000000001,03_A8A2,0.9615384615384613,0.769230769230769,4.0,0.769230769230769
050_03_A8A2_2.0,8.0,8.0,3.683333333333332,03_A8A2,2.171945701357467,2.171945701357467,8.0,2.171945701357467
053_03_A8A2_2.0,6.0,6.0,5.766666666666667,03_A8A2,1.0404624277456647,1.0404624277456647,6.0,1.0404624277456647
054_03_A8A2_2.0,1.0,2.0,1.2166666666666666,03_A8A2,0.8219178082191781,1.6438356164383563,1.0,0.8219178082191781
055_03_A8A2_1.0,4.0,5.0,3.166666666666666,03_A8A2,1.2631578947368423,1.5789473684210529,4.0,1.2631578947368423
056_03_A8A2_2.0,2.0,2.0,5.1499999999999995,03_A8A2,0.38834951456310685,0.38834951456310685,2.0,0.38834951456310685
057_03_A8A2_1.0,1.0,0.0,1.1,03_A8A2,0.9090909090909091,0.0,0.0,
058_03_A8A2_2.0,2.0,1.0,3.85,03_A8A2,0.5194805194805194,0.2597402597402597,1.0,0.2597402597402597
059_03_A8A2_1.0,2.0,1.0,1.7,03_A8A2,1.1764705882352942,0.5882352941176471,1.0,0.5882352941176471
060_03_A8A2_2.0,1.0,1.0,2.0,03_A8A2,0.5,0.5,1.0,0.5
063_03_A8A2_2.0,1.0,0.0,2.6166666666666667,03_A8A2,0.38216560509554137,0.0,0.0,
064_03_A8A2_1.0,2.0,3.0,2.466666666666667,03_A8A2,0.8108108108108107,1.2162162162162162,2.0,0.8108108108108107
064_03_A8A2_2.0,2.0,3.0,1.133333333333333,03_A8A2,1.7647058823529416,2.6470588235294126,2.0,1.7647058823529416
067_03_A8A2_1.0,3.0,2.0,2.0833333333333335,03_A8A2,1.44,0.96,2.0,0.96
070_03_A8A2_2.0,1.0,1.0,1.4399999999999997,03_A8A2,0.6944444444444445,0.6944444444444445,1.0,0.6944444444444445
072_03_A8A2_2.0,1.0,0.0,1.6400000000000001,03_A8A2,0.6097560975609756,0.0,0.0,
073_03_A8A2_2.0,1.0,0.0,1.8166666666666667,03_A8A2,0.5504587155963303,0.0,0.0,
075_03_A8A2_1.0,1.0,1.0,0.5,03_A8A2,2.0,2.0,1.0,2.0
075_03_A8A2_2.0,3.0,3.0,0.7999999999999999,03_A8A2,3.7500000000000004,3.7500000000000004,3.0,3.7500000000000004
076_03_A8A2_1.0,2.0,2.0,1.05,03_A8A2,1.9047619047619047,1.9047619047619047,2.0,1.9047619047619047
078_03_A8A2_1.0,2.0,3.0,1.9499999999999997,03_A8A2,1.0256410256410258,1.5384615384615388,2.0,1.0256410256410258
078_03_A8A2_2.0,4.0,5.0,6.0,03_A8A2,0.6666666666666666,0.8333333333333334,4.0,0.6666666666666666
080_03_A8A2_2.0,1.0,1.0,2.1166666666666667,03_A8A2,0.47244094488188976,0.47244094488188976,1.0,0.47244094488188976
083_03_A8A2_2.0,2.0,1.0,1.3666666666666667,03_A8A2,1.4634146341463414,0.7317073170731707,1.0,0.7317073170731707
084_03_A8A2_1.0,1.0,0.0,1.15,03_A8A2,0.8695652173913044,0.0,0.0,
085_03_A8A2_1.0,1.0,1.0,4.316666666666665,03_A8A2,0.23166023166023178,0.23166023166023178,1.0,0.23166023166023178
085_03_A8A2_2.0,3.0,4.0,2.8500000000000005,03_A8A2,1.0526315789473681,1.4035087719298243,3.0,1.0526315789473681
088_03_A8A2_2.0,2.0,2.0,2.25,03_A8A2,0.8888888888888888,0.8888888888888888,2.0,0.8888888888888888
089_03_A8A2_1.0,1.0,3.0,3.4833333333333334,03_A8A2,0.28708133971291866,0.8612440191387559,1.0,0.28708133971291866
089_03_A8A2_2.0,1.0,2.0,5.216666666666668,03_A8A2,0.19169329073482425,0.3833865814696485,1.0,0.19169329073482425
091_03_A8A2_2.0,2.0,3.0,5.799999999999998,03_A8A2,0.3448275862068967,0.517241379310345,2.0,0.3448275862068967
093_03_A8A2_2.0,2.0,2.0,1.1666666666666667,03_A8A2,1.7142857142857142,1.7142857142857142,2.0,1.7142857142857142
096_03_A8A2_2.0,1.0,0.0,0.44333333333333336,03_A8A2,2.255639097744361,0.0,0.0,
098_03_A8A2_1.0,1.0,1.0,1.65,03_A8A2,0.6060606060606061,0.6060606060606061,1.0,0.6060606060606061
098_03_A8A2_2.0,1.0,0.0,3.533333333333333,03_A8A2,0.2830188679245283,0.0,0.0,
099_03_A8A2_2.0,1.0,0.0,2.783333333333333,03_A8A2,0.3592814371257485,0.0,0.0,
101_03_A8A2_1.0,1.0,0.0,0.35,03_A8A2,2.857142857142857,0.0,0.0,
102_03_A8A2_2.0,1.0,1.0,1.2666666666666666,03_A8A2,0.7894736842105263,0.7894736842105263,1.0,0.7894736842105263
103_03_A8A2_1.0,1.0,2.0,2.75,03_A8A2,0.36363636363636365,0.7272727272727273,1.0,0.36363636363636365
105_03_A8A2_2.0,1.0,0.0,0.5700000000000001,03_A8A2,1.7543859649122806,0.0,0.0,
106_03_A8A2_2.0,4.0,2.0,1.5233333333333334,03_A8A2,2.62582056892779,1.312910284463895,2.0,1.312910284463895
107_03_A8A2_2.0,3.0,2.0,4.516666666666667,03_A8A2,0.6642066420664207,0.44280442804428044,2.0,0.44280442804428044
110_03_A8A2_2.0,1.0,1.0,3.75,03_A8A2,0.26666666666666666,0.26666666666666666,1.0,0.26666666666666666
119_03_A8A2_2.0,2.0,1.0,2.75,03_A8A2,0.7272727272727273,0.36363636363636365,1.0,0.36363636363636365
127_03_A8A2_2.0,1.0,1.0,3.33666666666667,03_A8A2,0.2997002997002994,0.2997002997002994,1.0,0.2997002997002994
129_03_A8A2_2.0,1.0,0.0,0.37,03_A8A2,2.7027027027027026,0.0,0.0,
133_03_A8A2_2.0,1.0,1.0,5.779999999999989,03_A8A2,0.17301038062283772,0.17301038062283772,1.0,0.17301038062283772
135_03_A8A2_2.0,1.0,2.0,5.7766666666666655,03_A8A2,0.1731102135025967,0.3462204270051934,1.0,0.1731102135025967
136_03_A8A2_2.0,2.0,1.0,0.7599999999999999,03_A8A2,2.6315789473684212,1.3157894736842106,1.0,1.3157894736842106
137_03_A8A2_2.0,1.0,0.0,2.3133333333333335,03_A8A2,0.4322766570605187,0.0,0.0,
138_03_A8A2_2.0,10.0,9.0,1.6999999999999995,03_A8A2,5.882352941176472,5.294117647058825,9.0,5.294117647058825
141_03_A8A2_2.0,2.0,2.0,2.516666666666666,03_A8A2,0.7947019867549671,0.7947019867549671,2.0,0.7947019867549671
144_03_A8A2_2.0,1.0,1.0,1.0833333333333333,03_A8A2,0.9230769230769231,0.9230769230769231,1.0,0.9230769230769231
146_03_A8A2_2.0,4.0,4.0,5.97,03_A8A2,0.6700167504187605,0.6700167504187605,4.0,0.6700167504187605
156_03_A8A2_2.0,1.0,0.0,0.31333333333333335,03_A8A2,3.1914893617021276,0.0,0.0,
161_03_A8A2_2.0,2.0,2.0,1.5533333333333335,03_A8A2,1.2875536480686693,1.2875536480686693,2.0,1.2875536480686693
164_03_A8A2_2.0,3.0,3.0,5.97,03_A8A2,0.5025125628140704,0.5025125628140704,3.0,0.5025125628140704
177_03_A8A2_2.0,1.0,0.0,1.05,03_A8A2,0.9523809523809523,0.0,0.0,
195_03_A8A2_2.0,2.0,0.0,0.22333333333333333,03_A8A2,8.955223880597016,0.0,0.0,
199_03_A8A2_2.0,1.0,0.0,0.9566666666666667,03_A8A2,1.0452961672473868,0.0,0.0,
201_03_A8A2_2.0,1.0,0.0,0.9666666666666667,03_A8A2,1.0344827586206897,0.0,0.0,
206_03_A8A2_2.0,7.0,7.0,2.7199999999999993,03_A8A2,2.5735294117647065,2.5735294117647065,7.0,2.5735294117647065
208_03_A8A2_2.0,2.0,3.0,1.3866666666666667,03_A8A2,1.4423076923076923,2.1634615384615383,2.0,1.4423076923076923
210_03_A8A2_2.0,1.0,1.0,1.5366666666666668,03_A8A2,0.650759219088937,0.650759219088937,1.0,0.650759219088937
213_03_A8A2_2.0,2.0,1.0,1.8000000000000003,03_A8A2,1.111111111111111,0.5555555555555555,1.0,0.5555555555555555
006_03_A8A2_1.0,0.0,1.0,3.9,03_A8A2,0.0,0.25641025641025644,0.0,
009_03_A8A2_2.0,0.0,1.0,3.51,03_A8A2,0.0,0.2849002849002849,0.0,
019_03_A8A2_1.0,0.0,1.0,4.333333333333333,03_A8A2,0.0,0.23076923076923078,0.0,
026_03_A8A2_1.0,0.0,1.0,0.8333333333333334,03_A8A2,0.0,1.2,0.0,
035_03_A8A2_1.0,0.0,1.0,2.9833333333333334,03_A8A2,0.0,0.33519553072625696,0.0,
043_03_A8A2_2.0,0.0,1.0,2.45,03_A8A2,0.0,0.4081632653061224,0.0,
047_03_A8A2_2.0,0.0,1.0,3.2666666666666666,03_A8A2,0.0,0.30612244897959184,0.0,
065_03_A8A2_2.0,0.0,1.0,4.4633333333333365,03_A8A2,0.0,0.22404779686333068,0.0,
074_03_A8A2_2.0,0.0,1.0,3.916666666666668,03_A8A2,0.0,0.25531914893617014,0.0,
076_03_A8A2_2.0,0.0,1.0,2.5500000000000003,03_A8A2,0.0,0.392156862745098,0.0,
079_03_A8A2_2.0,0.0,1.0,3.486666666666665,03_A8A2,0.0,0.2868068833652009,0.0,
084_03_A8A2_2.0,0.0,1.0,3.7,03_A8A2,0.0,0.27027027027027023,0.0,
095_03_A8A2_2.0,0.0,1.0,5.2,03_A8A2,0.0,0.1923076923076923,0.0,
132_03_A8A2_2.0,0.0,1.0,3.9166666666666674,03_A8A2,0.0,0.25531914893617014,0.0,
001_04_A8B1_1.0,2.0,2.0,2.326666666666667,04_A8B1,0.8595988538681947,0.8595988538681947,2.0,0.8595988538681947
012_04_A8B1_1.0,3.0,2.0,1.94,04_A8B1,1.5463917525773196,1.0309278350515465,2.0,1.0309278350515465
041_04_A8B1_1.0,2.0,0.0,1.0199999999999998,04_A8B1,1.9607843137254906,0.0,0.0,
052_04_A8B1_1.0,3.0,1.0,0.43666666666666665,04_A8B1,6.870229007633588,2.290076335877863,1.0,2.290076335877863
065_04_A8B1_1.0,4.0,3.0,1.596666666666667,04_A8B1,2.505219206680584,1.878914405010438,3.0,1.878914405010438
066_04_A8B1_1.0,1.0,0.0,0.8066666666666666,04_A8B1,1.2396694214876034,0.0,0.0,
074_04_A8B1_1.0,3.0,3.0,2.1900000000000004,04_A8B1,1.3698630136986298,1.3698630136986298,3.0,1.3698630136986298
082_04_A8B1_1.0,2.0,2.0,1.5,04_A8B1,1.3333333333333333,1.3333333333333333,2.0,1.3333333333333333
084_04_A8B1_1.0,1.0,1.0,1.4366666666666668,04_A8B1,0.6960556844547563,0.6960556844547563,1.0,0.6960556844547563
086_04_A8B1_1.0,6.0,7.0,2.8100000000000005,04_A8B1,2.1352313167259784,2.4911032028469746,6.0,2.1352313167259784
087_04_A8B1_1.0,2.0,2.0,1.84,04_A8B1,1.0869565217391304,1.0869565217391304,2.0,1.0869565217391304
