frames,donor,acceptor,FRET,idealized FRET,molecule_number,treatment_name,repeat,unique_id,dwell_steady_state,dwell,frame_length,transition_point,transition_dwell,FRET_before,FRET_after,consec
120,2189.297,4809.507,0.68719,0.788279,227,04_A8B1,1.0,227_04_A8B1_1.0,2,14,180,True,119.0,0.462353,0.788279,False
152,1109.504,4073.456,0.785932,0.785764,233,04_A8B1,1.0,233_04_A8B1_1.0,2,76,227,True,151.0,0.460749,0.785764,False
106,2753.056,4802.107,0.635606,0.63005,241,04_A8B1,1.0,241_04_A8B1_1.0,2,10,368,True,105.0,0.325572,0.63005,False
212,2647.645,3514.326,0.570325,0.63005,241,04_A8B1,1.0,241_04_A8B1_1.0,4,71,368,True,96.0,0.325572,0.63005,False
219,3166.338,3529.486,0.527117,0.579457,266,04_A8B1,1.0,266_04_A8B1_1.0,3,22,609,True,191.0,0.434728,0.579457,False
428,2585.217,2905.671,0.529181,0.579457,266,04_A8B1,1.0,266_04_A8B1_1.0,7,26,609,True,126.0,0.434728,0.579457,False
243,1541.954,2839.26,0.648053,0.614707,277,04_A8B1,1.0,277_04_A8B1_1.0,6,32,1185,True,123.0,0.490173,0.614707,False
115,1354.883,1467.686,0.519982,0.613861,296,04_A8B1,1.0,296_04_A8B1_1.0,3,4,476,True,102.0,0.325099,0.613861,False
170,4095.836,4309.995,0.512739,0.613861,296,04_A8B1,1.0,296_04_A8B1_1.0,5,40,476,True,51.0,0.325099,0.613861,False
102,3230.048,4572.029,0.586002,0.680809,299,04_A8B1,1.0,299_04_A8B1_1.0,3,18,429,True,71.0,0.4669,0.680809,False
240,1966.76,6033.284,0.754156,0.680809,299,04_A8B1,1.0,299_04_A8B1_1.0,5,3,429,True,120.0,0.4669,0.680809,False
166,5449.424,1974.884,0.266002,0.61465,306,04_A8B1,1.0,306_04_A8B1_1.0,2,26,191,True,165.0,0.054735,0.61465,False
399,1738.43,5426.356,0.757365,0.781808,308,04_A8B1,1.0,308_04_A8B1_1.0,2,8,406,True,398.0,0.050526,0.781808,False
71,2996.874,7118.965,0.703744,0.72295,321,04_A8B1,1.0,321_04_A8B1_1.0,2,156,226,True,70.0,0.417319,0.72295,False
55,3388.489,8195.921,0.707496,0.632468,327,04_A8B1,1.0,327_04_A8B1_1.0,2,16,91,True,54.0,0.192168,0.632468,False
784,1647.116,7803.778,0.825719,0.637706,335,04_A8B1,1.0,335_04_A8B1_1.0,2,8,791,True,783.0,0.033008,0.637706,False
67,5244.897,5100.609,0.493027,0.51471,342,04_A8B1,1.0,342_04_A8B1_1.0,2,13,345,True,66.0,0.377189,0.51471,False
134,5767.161,5071.088,0.467888,0.51471,342,04_A8B1,1.0,342_04_A8B1_1.0,4,15,345,True,54.0,0.377189,0.51471,False
206,4704.227,5490.671,0.53857,0.51471,342,04_A8B1,1.0,342_04_A8B1_1.0,6,140,345,True,57.0,0.377189,0.51471,False
192,3272.428,1598.435,0.328163,0.518904,353,04_A8B1,1.0,353_04_A8B1_1.0,2,4,876,True,191.0,0.094832,0.518904,False
165,2304.444,2165.378,0.484444,0.530543,354,04_A8B1,1.0,354_04_A8B1_1.0,2,80,510,True,164.0,0.219073,0.530543,False
984,615.232,775.919,0.557754,0.634023,355,04_A8B1,1.0,355_04_A8B1_1.0,19,5,1122,True,93.0,0.482682,0.634023,False
1112,798.96,2192.972,0.732962,0.634023,355,04_A8B1,1.0,355_04_A8B1_1.0,23,7,1122,True,71.0,0.482682,0.634023,False
122,3148.731,2817.962,0.472282,0.506315,356,04_A8B1,1.0,356_04_A8B1_1.0,2,23,701,True,121.0,0.085106,0.506315,False
1270,1233.48,1713.823,0.581489,0.707657,357,04_A8B1,1.0,357_04_A8B1_1.0,19,71,1776,True,160.0,0.28177,0.707657,False
200,1006.883,6579.125,0.867271,0.842549,366,04_A8B1,1.0,366_04_A8B1_1.0,4,18,477,True,74.0,0.49039,0.842549,False
1032,1678.333,1558.135,0.481431,0.535615,369,04_A8B1,1.0,369_04_A8B1_1.0,39,11,1123,True,51.0,0.41578,0.535615,False
1475,-229.299,6044.359,1.039432,0.977479,374,04_A8B1,1.0,374_04_A8B1_1.0,10,2,1476,True,103.0,0.497084,0.977479,False
255,3292.322,3302.172,0.500747,0.559143,377,04_A8B1,1.0,377_04_A8B1_1.0,8,31,1655,True,171.0,0.381895,0.559143,False
176,2610.572,4863.738,0.650727,0.794312,386,04_A8B1,1.0,386_04_A8B1_1.0,2,2,226,True,175.0,0.10465,0.794312,False
1666,-442.603,5530.8,1.086986,0.994944,388,04_A8B1,1.0,388_04_A8B1_1.0,10,21,1686,True,67.0,0.023624,0.994944,False
1540,1915.151,4193.411,0.686481,0.644048,392,04_A8B1,1.0,392_04_A8B1_1.0,10,50,1776,True,117.0,0.223937,0.644048,False
1718,2099.109,4315.085,0.67274,0.644048,392,04_A8B1,1.0,392_04_A8B1_1.0,14,43,1776,True,79.0,0.223937,0.644048,False
206,5285.241,5778.847,0.522307,0.831247,422,04_A8B1,1.0,422_04_A8B1_1.0,2,1,241,True,205.0,0.049917,0.831247,False
1163,2665.42,4485.636,0.627269,0.635182,447,04_A8B1,1.0,447_04_A8B1_1.0,11,93,1406,True,52.0,0.426295,0.635182,False
851,1361.697,2136.304,0.610721,0.684015,456,04_A8B1,1.0,456_04_A8B1_1.0,21,5,1085,True,109.0,0.498084,0.684015,False
625,3209.43,4677.693,0.59308,0.605844,459,04_A8B1,1.0,459_04_A8B1_1.0,7,34,674,True,130.0,0.495543,0.605844,False
202,2489.921,3687.579,0.596937,0.581883,460,04_A8B1,1.0,460_04_A8B1_1.0,2,13,1173,True,201.0,0.48835,0.581883,False
