frames,donor,acceptor,FRET,idealized FRET,molecule_number,treatment_name,repeat,unique_id,dwell_steady_state,dwell,frame_length,transition_point,transition_dwell,FRET_before,FRET_after,consec
335,2564.699,7514.063,0.745534,0.640025,389,04_A8B1,1.0,389_04_A8B1_1.0,4,6,377,True,319.0,0.437733,0.640025,True
978,4238.959,3368.292,0.442774,0.514112,403,04_A8B1,1.0,403_04_A8B1_1.0,17,67,1201,True,109.0,0.328527,0.514112,True
404,2547.818,4992.0,0.662085,0.718066,420,04_A8B1,1.0,420_04_A8B1_1.0,11,41,476,True,65.0,0.430896,0.718066,True
300,3019.085,5167.344,0.631209,0.605844,459,04_A8B1,1.0,459_04_A8B1_1.0,3,162,674,True,182.0,0.495543,0.605844,True
309,3039.955,4491.221,0.596351,0.56356,464,04_A8B1,1.0,464_04_A8B1_1.0,7,4,682,True,117.0,0.310205,0.56356,True
270,2815.004,6890.867,0.709969,0.663358,2,01_Native,1.0,002_01_Native_1.0,4,94,416,True,161.0,0.494094,0.663358,False
160,3730.554,4633.219,0.553963,0.562755,22,01_Native,1.0,022_01_Native_1.0,5,62,403,True,79.0,0.410772,0.562755,False
391,3480.471,4974.287,0.588342,0.568876,72,01_Native,1.0,072_01_Native_1.0,3,18,520,True,176.0,0.471405,0.568876,False
403,3941.654,4259.682,0.519389,0.558506,106,01_Native,1.0,106_01_Native_1.0,4,22,621,True,171.0,0.435745,0.558506,False
677,1872.705,5981.1,0.761554,0.830867,158,01_Native,1.0,158_01_Native_1.0,16,68,987,True,61.0,0.452367,0.830867,False
339,2762.834,5953.618,0.683032,0.648753,182,01_Native,1.0,182_01_Native_1.0,2,33,455,True,338.0,0.484341,0.648753,False
436,5173.85,5395.893,0.510504,0.55344,187,01_Native,1.0,187_01_Native_1.0,7,9,444,True,155.0,0.461543,0.55344,False
169,3795.546,4760.008,0.556365,0.617139,191,01_Native,1.0,191_01_Native_1.0,3,68,409,True,142.0,0.466548,0.617139,False
83,3201.077,4135.916,0.563707,0.583139,197,01_Native,1.0,197_01_Native_1.0,2,138,339,True,82.0,0.448268,0.583139,False
188,3066.368,5453.296,0.640083,0.706176,220,01_Native,1.0,220_01_Native_1.0,3,19,459,True,176.0,0.434847,0.706176,False
192,3751.873,6663.831,0.639787,0.682618,224,01_Native,1.0,224_01_Native_1.0,3,167,535,True,95.0,0.454705,0.682618,False
421,3218.968,7249.764,0.692516,0.682618,224,01_Native,1.0,224_01_Native_1.0,5,6,535,True,62.0,0.454705,0.682618,False
1338,2067.749,2335.28,0.53038,0.57664,229,01_Native,1.0,229_01_Native_1.0,21,36,1528,True,266.0,0.465866,0.57664,False
1490,1733.063,2938.492,0.629018,0.57664,229,01_Native,1.0,229_01_Native_1.0,23,39,1528,True,116.0,0.465866,0.57664,False
191,3798.772,5361.28,0.585289,0.622164,243,01_Native,1.0,243_01_Native_1.0,3,24,507,True,70.0,0.485481,0.622164,False
281,3004.991,5641.998,0.652481,0.622164,243,01_Native,1.0,243_01_Native_1.0,5,35,507,True,66.0,0.485481,0.622164,False
383,3720.172,4780.066,0.562345,0.622164,243,01_Native,1.0,243_01_Native_1.0,7,114,507,True,67.0,0.485481,0.622164,False
69,4087.167,6062.189,0.597298,0.604763,317,01_Native,1.0,317_01_Native_1.0,2,324,393,True,68.0,0.479708,0.604763,False
73,4344.686,9449.019,0.685024,0.680196,22,02_Misfolded,1.0,022_02_Misfolded_1.0,2,11,83,True,72.0,0.374304,0.680196,False
176,4724.153,7108.222,0.600743,0.693685,26,02_Misfolded,1.0,026_02_Misfolded_1.0,2,13,423,True,175.0,0.496787,0.693685,False
268,3722.202,7709.246,0.674389,0.693685,26,02_Misfolded,1.0,026_02_Misfolded_1.0,4,111,423,True,79.0,0.496787,0.693685,False
139,6063.29,9675.305,0.61475,0.688162,3,03_A8A2,1.0,003_03_A8A2_1.0,2,6,145,True,138.0,0.137065,0.688162,False
313,1469.268,23537.165,0.941244,1.01453,3,03_A8A2,2.0,003_03_A8A2_2.0,2,3,315,True,312.0,0.070007,1.01453,False
1718,5215.331,6526.801,0.555845,0.700356,4,03_A8A2,2.0,004_03_A8A2_2.0,16,5,1800,True,105.0,0.056018,0.700356,False
281,5016.045,6629.026,0.569256,0.611677,5,03_A8A2,2.0,005_03_A8A2_2.0,10,28,1360,True,142.0,0.49778,0.611677,False
